每半小时时间,城市,区县,订单量,是否节假日,天气,GDP,常驻人口
2019/10/17 6:00,南京市,六合区,10840,0,Cloudy,500,60
2019/10/17 6:00,南京市,建邺区,4950,0,Cloudy,500,30
2019/10/17 6:00,南京市,栖霞区,5616,0,Cloudy,1000,80
2019/10/17 6:00,南京市,江宁区,14889,0,Cloudy,2100,130
2019/10/17 6:00,南京市,浦口区,12128,0,Cloudy,400,40
2019/10/17 6:00,南京市,溧水区,6976,0,Cloudy,400,50
2019/10/17 6:00,南京市,玄武区,1396,0,Cloudy,1200,60
2019/10/17 6:00,南京市,秦淮区,5209,0,Cloudy,800,50
2019/10/17 6:00,南京市,雨花台区,6403,0,Cloudy,500,40
2019/10/17 6:00,南京市,高淳区,10594,0,Cloudy,600,43
2019/10/17 6:00,南京市,鼓楼区,2295,0,Cloudy,1600,90
2019/10/17 6:30,南京市,六合区,11119,0,Cloudy,500,60
2019/10/17 6:30,南京市,建邺区,3376,0,Cloudy,500,30
2019/10/17 6:30,南京市,栖霞区,6528,0,Cloudy,1000,80
2019/10/17 6:30,南京市,江宁区,18621,0,Cloudy,2100,130
2019/10/17 6:30,南京市,浦口区,14873,0,Cloudy,400,40
2019/10/17 6:30,南京市,溧水区,6037,0,Cloudy,400,50
2019/10/17 6:30,南京市,玄武区,1702,0,Cloudy,1200,60
2019/10/17 6:30,南京市,秦淮区,4462,0,Cloudy,800,50
2019/10/17 6:30,南京市,雨花台区,6574,0,Cloudy,500,40
2019/10/17 6:30,南京市,高淳区,16177,0,Cloudy,600,43
2019/10/17 6:30,南京市,鼓楼区,2475,0,Cloudy,1600,90
2019/10/17 7:00,南京市,六合区,11444,0,Cloudy,500,60
2019/10/17 7:00,南京市,建邺区,2652,0,Cloudy,500,30
2019/10/17 7:00,南京市,栖霞区,7008,0,Cloudy,1000,80
2019/10/17 7:00,南京市,江宁区,18223,0,Cloudy,2100,130
2019/10/17 7:00,南京市,浦口区,15618,0,Cloudy,400,40
2019/10/17 7:00,南京市,溧水区,7099,0,Cloudy,400,50
2019/10/17 7:00,南京市,玄武区,1444,0,Cloudy,1200,60
2019/10/17 7:00,南京市,秦淮区,4181,0,Cloudy,800,50
2019/10/17 7:00,南京市,雨花台区,5916,0,Cloudy,500,40
2019/10/17 7:00,南京市,高淳区,18659,0,Cloudy,600,43
2019/10/17 7:00,南京市,鼓楼区,2718,0,Cloudy,1600,90
2019/10/17 7:30,南京市,六合区,12332,0,Cloudy,500,60
2019/10/17 7:30,南京市,建邺区,2617,0,Cloudy,500,30
2019/10/17 7:30,南京市,栖霞区,7180,0,Cloudy,1000,80
2019/10/17 7:30,南京市,江宁区,21108,0,Cloudy,2100,130
2019/10/17 7:30,南京市,浦口区,15317,0,Cloudy,400,40
2019/10/17 7:30,南京市,溧水区,7667,0,Cloudy,400,50
2019/10/17 7:30,南京市,玄武区,2267,0,Cloudy,1200,60
2019/10/17 7:30,南京市,秦淮区,3903,0,Cloudy,800,50
2019/10/17 7:30,南京市,雨花台区,5897,0,Cloudy,500,40
2019/10/17 7:30,南京市,高淳区,20382,0,Cloudy,600,43
2019/10/17 7:30,南京市,鼓楼区,2756,0,Cloudy,1600,90
2019/10/17 8:00,南京市,六合区,13711,0,Partly cloudy,500,60
